Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,344.809998,345.750000,340.540009,340.890015,338.290802,66107400
2022-04-12,345.760010,347.690002,338.040009,339.450012,336.861786,72790200
2022-04-13,339.799988,347.429993,339.059998,346.350006,343.709137,61367800
2022-04-14,346.440002,346.970001,338.209991,338.429993,335.849518,73519400
2022-04-18,337.350006,341.040009,335.790009,338.690002,336.107574,58560600
2022-04-19,338.029999,346.850006,336.980011,346.260010,343.619843,56515700
2022-04-20,347.089996,347.559998,339.959991,341.209991,338.608337,65500000
2022-04-21,345.190002,347.869995,333.200012,334.149994,331.602173,75801000
2022-04-22,334.309998,335.559998,324.959991,325.399994,322.918915,82562100
2022-04-25,323.730011,329.899994,322.429993,329.579987,327.067047,101755900
2022-04-26,327.470001,327.660004,316.859985,317.140015,314.721863,105819600
2022-04-27,317.239990,322.880005,315.000000,316.760010,314.344788,111204200
2022-04-28,321.850006,329.890015,317.519989,328.010010,325.509003,99450000
2022-04-29,323.700012,327.230011,312.600006,313.250000,310.861542,91977900
2022-05-02,312.829987,318.720001,309.649994,318.480011,316.051666,115511800
2022-05-03,318.500000,321.170013,315.980011,318.820007,316.389069,78185500
2022-05-04,319.309998,330.290009,313.890015,329.600006,327.086884,116083400
2022-05-05,325.170013,325.250000,309.619995,313.000000,310.613434,154607400
2022-05-06,310.950012,315.089996,305.109985,309.250000,306.892029,139572800
2022-05-09,303.480011,309.350006,295.720001,297.149994,294.884308,113387300
2022-05-10,304.510010,305.760010,296.570007,300.760010,298.466766,124124600
2022-05-11,298.440002,304.089996,290.950012,291.839996,289.614777,140326100
2022-05-12,287.450012,295.750000,284.940002,291.149994,288.930023,120910900
2022-05-13,295.720001,303.000000,294.079987,301.940002,299.637756,83684900
2022-05-16,300.149994,302.260010,297.130005,298.440002,296.164459,59190400
2022-05-17,304.450012,306.559998,300.549988,306.170013,303.835541,62715300
2022-05-18,301.540009,302.250000,289.850006,291.140015,288.920135,79477100
2022-05-19,289.290009,294.390015,287.579987,289.579987,287.372009,79920700
2022-05-20,293.130005,293.799988,280.209991,288.679993,286.478851,91764200
2022-05-23,289.750000,293.869995,287.290009,293.480011,291.242310,63648400
2022-05-24,288.130005,288.859985,282.250000,287.239990,285.049835,73491100
2022-05-25,285.709991,293.390015,285.500000,291.260010,289.039215,67144500
